"Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","MaritalStatus"
"Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Single"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Married"
"Yes","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Single"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Divorced"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Divorced"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Non-Travel","Research & Development","Medical","Male","Laboratory Technician","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Female","Manager","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Non-Travel","Research & Development","Other","Female","Manufacturing Director","Divorced"
"Yes","Travel_Rarely","Sales","Life Sciences","Male","Sales Representative","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Other","Female","Manager","Divorced"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Single"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Married"
"No","Travel_Rarely","Sales","Marketing","Female","Manager","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Other","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Single"
"Yes","Travel_Rarely","Sales","Technical Degree","Male","Sales Representative","Married"
"Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Divorced"
"Yes","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Married"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Representative","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Married"
"No","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Divorced"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single"
"No","Travel_Frequently","Research & Development","Medical","Female","Laboratory Technician","Single"
"Yes","Travel_Rarely","Research & Development","Technical Degree","Female","Research Director","Married"
"No","Non-Travel","Sales","Marketing","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Frequently","Sales","Marketing","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"Yes","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Divorced"
