"Age","Attrition","DailyRate","Department","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","Over18","OverTime","PerformanceRating","StandardHours","TotalWorkingYears","TrainingTimesLastYear","YearsInCurrentRole"
41,"Yes",1102,"Sales",2,"Life Sciences",2,"Female",94,3,2,"Sales Executive",4,5993,8,"Y","Yes",3,80,8,0,4
49,"No",279,"Research & Development",1,"Life Sciences",3,"Male",61,2,2,"Research Scientist",2,5130,1,"Y","No",4,80,10,3,7
37,"Yes",1373,"Research & Development",2,"Other",4,"Male",92,2,1,"Laboratory Technician",3,2090,6,"Y","Yes",3,80,7,3,0
33,"No",1392,"Research & Development",4,"Life Sciences",4,"Female",56,3,1,"Research Scientist",3,2909,1,"Y","Yes",3,80,8,3,7
27,"No",591,"Research & Development",1,"Medical",1,"Male",40,3,1,"Laboratory Technician",2,3468,9,"Y","No",3,80,6,3,2
32,"No",1005,"Research & Development",2,"Life Sciences",4,"Male",79,3,1,"Laboratory Technician",4,3068,0,"Y","No",3,80,8,2,7
59,"No",1324,"Research & Development",3,"Medical",3,"Female",81,4,1,"Laboratory Technician",1,2670,4,"Y","Yes",4,80,12,3,0
30,"No",1358,"Research & Development",1,"Life Sciences",4,"Male",67,3,1,"Laboratory Technician",3,2693,1,"Y","No",4,80,1,2,0
38,"No",216,"Research & Development",3,"Life Sciences",4,"Male",44,2,3,"Manufacturing Director",3,9526,0,"Y","No",4,80,10,2,7
36,"No",1299,"Research & Development",3,"Medical",3,"Male",94,3,2,"Healthcare Representative",3,5237,6,"Y","No",3,80,17,3,7
35,"No",809,"Research & Development",3,"Medical",1,"Male",84,4,1,"Laboratory Technician",2,2426,0,"Y","No",3,80,6,5,4
29,"No",153,"Research & Development",2,"Life Sciences",4,"Female",49,2,2,"Laboratory Technician",3,4193,0,"Y","Yes",3,80,10,3,5
31,"No",670,"Research & Development",1,"Life Sciences",1,"Male",31,3,1,"Research Scientist",3,2911,1,"Y","No",3,80,5,1,2
34,"No",1346,"Research & Development",2,"Medical",2,"Male",93,3,1,"Laboratory Technician",4,2661,0,"Y","No",3,80,3,2,2
28,"Yes",103,"Research & Development",3,"Life Sciences",3,"Male",50,2,1,"Laboratory Technician",3,2028,5,"Y","Yes",3,80,6,4,2
29,"No",1389,"Research & Development",4,"Life Sciences",2,"Female",51,4,3,"Manufacturing Director",1,9980,1,"Y","No",3,80,10,1,9
32,"No",334,"Research & Development",2,"Life Sciences",1,"Male",80,4,1,"Research Scientist",2,3298,0,"Y","Yes",3,80,7,5,2
22,"No",1123,"Research & Development",2,"Medical",4,"Male",96,4,1,"Laboratory Technician",4,2935,1,"Y","Yes",3,80,1,2,0
53,"No",1219,"Sales",4,"Life Sciences",1,"Female",78,2,4,"Manager",4,15427,2,"Y","No",3,80,31,3,8
38,"No",371,"Research & Development",3,"Life Sciences",4,"Male",45,3,1,"Research Scientist",4,3944,5,"Y","Yes",3,80,6,3,2
24,"No",673,"Research & Development",2,"Other",1,"Female",96,4,2,"Manufacturing Director",3,4011,0,"Y","No",3,80,5,5,2
36,"Yes",1218,"Sales",4,"Life Sciences",3,"Male",82,2,1,"Sales Representative",1,3407,7,"Y","No",4,80,10,4,3
34,"No",419,"Research & Development",4,"Life Sciences",1,"Female",53,3,3,"Research Director",2,11994,0,"Y","No",3,80,13,4,6
21,"No",391,"Research & Development",2,"Life Sciences",3,"Male",96,3,1,"Research Scientist",4,1232,1,"Y","No",3,80,0,6,0
34,"Yes",699,"Research & Development",1,"Medical",2,"Male",83,3,1,"Research Scientist",1,2960,2,"Y","No",3,80,8,2,2
